AuditOrder,Module,Route,Loads,Navigation,Breadcrumb,Content,Search,Filters,Pagination,Create,Edit,DeleteOrArchive,Validation,EmptyState,LoadingState,SuccessFeedback,ErrorFeedback,Permissions,Responsive,ConsoleErrors,Score,Status,Notes
11,properties,/properties,Partial,4,,Failed,Visible but unusable,Visible but unusable,Visible but unusable,,,,,Missing,Missing,,Raw API JSON,Invalid session remains visible,Not Reviewed,Issue observed,1.5,Pilot Blocker,Authenticated shell remains visible while the API returns 401 Invalid token. Raw backend JSON is rendered. The client must clear the invalid session and redirect to login.
12,tenants,/tenants/[id]/assign-space,,,,,,,,,,,,,,,,,,,,Not Audited,
13,tenants,/tenants/[id],,,,,,,,,,,,,,,,,,,,Not Audited,
14,tenants,/tenants/[id]/spaces,,,,,,,,,,,,,,,,,,,,Not Audited,
15,tenants,/tenants/new,,,,,,,,,,,,,,,,,,,,Not Audited,
16,tenants,/tenants,,,,,,,,,,,,,,,,,,,,Not Audited,
17,leases,/leases/[id],,,,,,,,,,,,,,,,,,,,Not Audited,
18,leases,/leases/new,,,,,,,,,,,,,,,,,,,,Not Audited,
19,leases,/leases,,,,,,,,,,,,,,,,,,,,Not Audited,
20,rent-ledgers,/rent-ledgers/[id],,,,,,,,,,,,,,,,,,,,Not Audited,
21,rent-ledgers,/rent-ledgers/[id]/payments/new,,,,,,,,,,,,,,,,,,,,Not Audited,
22,rent-ledgers,/rent-ledgers/new,,,,,,,,,,,,,,,,,,,,Not Audited,
23,rent-ledgers,/rent-ledgers,,,,,,,,,,,,,,,,,,,,Not Audited,
24,receipts,/receipts/[id],,,,,,,,,,,,,,,,,,,,Not Audited,
25,receipts,/receipts/new,,,,,,,,,,,,,,,,,,,,Not Audited,
26,receipts,/receipts,,,,,,,,,,,,,,,,,,,,Not Audited,
27,invoices,/invoices/[id],,,,,,,,,,,,,,,,,,,,Not Audited,
28,invoices,/invoices/new,,,,,,,,,,,,,,,,,,,,Not Audited,
29,invoices,/invoices,,,,,,,,,,,,,,,,,,,,Not Audited,
30,maintenance,/maintenance/[id],,,,,,,,,,,,,,,,,,,,Not Audited,
31,maintenance,/maintenance/new,,,,,,,,,,,,,,,,,,,,Not Audited,
32,maintenance,/maintenance,,,,,,,,,,,,,,,,,,,,Not Audited,
33,facilities,/facilities/assets/[id],,,,,,,,,,,,,,,,,,,,Not Audited,
34,facilities,/facilities/assets/new,,,,,,,,,,,,,,,,,,,,Not Audited,
35,facilities,/facilities/assets,,,,,,,,,,,,,,,,,,,,Not Audited,
36,facilities,/facilities,,,,,,,,,,,,,,,,,,,,Not Audited,
37,staff,/staff/[id],,,,,,,,,,,,,,,,,,,,Not Audited,
38,staff,/staff/new,,,,,,,,,,,,,,,,,,,,Not Audited,
39,staff,/staff,,,,,,,,,,,,,,,,,,,,Not Audited,
40,vehicles,/vehicles/[id],,,,,,,,,,,,,,,,,,,,Not Audited,
41,vehicles,/vehicles/new,,,,,,,,,,,,,,,,,,,,Not Audited,
42,vehicles,/vehicles,,,,,,,,,,,,,,,,,,,,Not Audited,
43,visitors,/visitors/[id],,,,,,,,,,,,,,,,,,,,Not Audited,
44,visitors,/visitors/new,,,,,,,,,,,,,,,,,,,,Not Audited,
45,visitors,/visitors,,,,,,,,,,,,,,,,,,,,Not Audited,
46,helpdesk,/helpdesk/[id],,,,,,,,,,,,,,,,,,,,Not Audited,
47,helpdesk,/helpdesk/new,,,,,,,,,,,,,,,,,,,,Not Audited,
48,helpdesk,/helpdesk,,,,,,,,,,,,,,,,,,,,Not Audited,
49,communications,/communications/[id],,,,,,,,,,,,,,,,,,,,Not Audited,
50,communications,/communications/new,,,,,,,,,,,,,,,,,,,,Not Audited,
51,communications,/communications,,,,,,,,,,,,,,,,,,,,Not Audited,
52,procurement,/procurement/comparison,,,,,,,,,,,,,,,,,,,,Not Audited,
53,procurement,/procurement/dashboard,,,,,,,,,,,,,,,,,,,,Not Audited,
54,procurement,/procurement/goods-receipts/[id],,,,,,,,,,,,,,,,,,,,Not Audited,
55,procurement,/procurement/goods-receipts/new,,,,,,,,,,,,,,,,,,,,Not Audited,
56,procurement,/procurement/goods-receipts,,,,,,,,,,,,,,,,,,,,Not Audited,
57,procurement,/procurement/invoice-matches/[id],,,,,,,,,,,,,,,,,,,,Not Audited,
58,procurement,/procurement/invoice-matches/new,,,,,,,,,,,,,,,,,,,,Not Audited,
59,procurement,/procurement/invoice-matches,,,,,,,,,,,,,,,,,,,,Not Audited,
60,procurement,/procurement/payment-requests/[id],,,,,,,,,,,,,,,,,,,,Not Audited,
61,procurement,/procurement/payment-requests/new,,,,,,,,,,,,,,,,,,,,Not Audited,
62,procurement,/procurement/payment-requests,,,,,,,,,,,,,,,,,,,,Not Audited,
63,procurement,/procurement/purchase-orders/[id],,,,,,,,,,,,,,,,,,,,Not Audited,
64,procurement,/procurement/purchase-orders/new,,,,,,,,,,,,,,,,,,,,Not Audited,
65,procurement,/procurement/purchase-orders,,,,,,,,,,,,,,,,,,,,Not Audited,
66,procurement,/procurement/quotations/[id],,,,,,,,,,,,,,,,,,,,Not Audited,
67,procurement,/procurement/quotations/new,,,,,,,,,,,,,,,,,,,,Not Audited,
68,procurement,/procurement/quotations,,,,,,,,,,,,,,,,,,,,Not Audited,
69,procurement,/procurement/requests/[id],,,,,,,,,,,,,,,,,,,,Not Audited,
70,procurement,/procurement/requests/new,,,,,,,,,,,,,,,,,,,,Not Audited,
71,procurement,/procurement/requests,,,,,,,,,,,,,,,,,,,,Not Audited,
72,procurement,/procurement/rfqs/[id]/comparison,,,,,,,,,,,,,,,,,,,,Not Audited,
73,procurement,/procurement/rfqs/[id],,,,,,,,,,,,,,,,,,,,Not Audited,
74,procurement,/procurement/rfqs/new,,,,,,,,,,,,,,,,,,,,Not Audited,
75,procurement,/procurement/rfqs,,,,,,,,,,,,,,,,,,,,Not Audited,
76,reservations,/reservations/[id],,,,,,,,,,,,,,,,,,,,Not Audited,
77,reservations,/reservations/approvals,,,,,,,,,,,,,,,,,,,,Not Audited,
78,reservations,/reservations/calendar,,,,,,,,,,,,,,,,,,,,Not Audited,
79,reservations,/reservations/new,,,,,,,,,,,,,,,,,,,,Not Audited,
80,reservations,/reservations,,,,,,,,,,,,,,,,,,,,Not Audited,
81,reservations,/reservations/resources/[id],,,,,,,,,,,,,,,,,,,,Not Audited,
82,reservations,/reservations/resources/new,,,,,,,,,,,,,,,,,,,,Not Audited,
83,reservations,/reservations/resources,,,,,,,,,,,,,,,,,,,,Not Audited,
84,access,/access/events,,,,,,,,,,,,,,,,,,,,Not Audited,
85,access,/access/grants,,,,,,,,,,,,,,,,,,,,Not Audited,
86,access,/access,,,,,,,,,,,,,,,,,,,,Not Audited,
87,access,/access/points/[id],,,,,,,,,,,,,,,,,,,,Not Audited,
88,access,/access/points/new,,,,,,,,,,,,,,,,,,,,Not Audited,
89,access,/access/points,,,,,,,,,,,,,,,,,,,,Not Audited,
90,security,/security/access,,,,,,,,,,,,,,,,,,,,Not Audited,
91,security,/security,,,,,,,,,,,,,,,,,,,,Not Audited,
92,security,/security/staff,,,,,,,,,,,,,,,,,,,,Not Audited,
93,security,/security/vehicles,,,,,,,,,,,,,,,,,,,,Not Audited,
94,notifications,/notifications,,,,,,,,,,,,,,,,,,,,Not Audited,
95,operations,/operations,,,,,,,,,,,,,,,,,,,,Not Audited,
96,reports,/reports/outstanding-rent,,,,,,,,,,,,,,,,,,,,Not Audited,
97,reports,/reports,,,,,,,,,,,,,,,,,,,,Not Audited,
98,reports,/reports/rent-collection,,,,,,,,,,,,,,,,,,,,Not Audited,
99,plugins,/plugins/[id],,,,,,,,,,,,,,,,,,,,Not Audited,
100,plugins,/plugins/install,,,,,,,,,,,,,,,,,,,,Not Audited,
101,plugins,/plugins/marketplace,,,,,,,,,,,,,,,,,,,,Not Audited,
102,plugins,/plugins,,,,,,,,,,,,,,,,,,,,Not Audited,
103,themes,/themes/[id],,,,,,,,,,,,,,,,,,,,Not Audited,
104,themes,/themes/packages/new,,,,,,,,,,,,,,,,,,,,Not Audited,
105,themes,/themes/packages,,,,,,,,,,,,,,,,,,,,Not Audited,
106,themes,/themes,,,,,,,,,,,,,,,,,,,,Not Audited,
107,scheduler,/scheduler,,,,,,,,,,,,,,,,,,,,Not Audited,
108,workflows,/workflows,,,,,,,,,,,,,,,,,,,,Not Audited,
109,resident,/resident/helpdesk/[id],,,,,,,,,,,,,,,,,,,,Not Audited,
110,resident,/resident/helpdesk/new,,,,,,,,,,,,,,,,,,,,Not Audited,
111,resident,/resident/helpdesk,,,,,,,,,,,,,,,,,,,,Not Audited,
112,resident,/resident/maintenance/new,,,,,,,,,,,,,,,,,,,,Not Audited,
113,resident,/resident/maintenance,,,,,,,,,,,,,,,,,,,,Not Audited,
114,resident,/resident/notices/[id],,,,,,,,,,,,,,,,,,,,Not Audited,
115,resident,/resident/notices,,,,,,,,,,,,,,,,,,,,Not Audited,
116,resident,/resident,,,,,,,,,,,,,,,,,,,,Not Audited,
117,resident,/resident/reservations/new,,,,,,,,,,,,,,,,,,,,Not Audited,
118,resident,/resident/reservations,,,,,,,,,,,,,,,,,,,,Not Audited,
119,resident,/resident/staff/new,,,,,,,,,,,,,,,,,,,,Not Audited,
120,resident,/resident/staff,,,,,,,,,,,,,,,,,,,,Not Audited,
121,resident,/resident/vehicles/new,,,,,,,,,,,,,,,,,,,,Not Audited,
122,resident,/resident/vehicles,,,,,,,,,,,,,,,,,,,,Not Audited,
123,resident,/resident/visitors/new,,,,,,,,,,,,,,,,,,,,Not Audited,
124,resident,/resident/visitors,,,,,,,,,,,,,,,,,,,,Not Audited,
125,docs,/docs/[...slug],,,,,,,,,,,,,,,,,,,,Not Audited,
126,docs,/docs,,,,,,,,,,,,,,,,,,,,Not Audited,
127,vendors,/vendors/[id],,,,,,,,,,,,,,,,,,,,Not Audited,
128,vendors,/vendors/categories,,,,,,,,,,,,,,,,,,,,Not Audited,
129,vendors,/vendors/contracts,,,,,,,,,,,,,,,,,,,,Not Audited,
130,vendors,/vendors/new,,,,,,,,,,,,,,,,,,,,Not Audited,
131,vendors,/vendors,,,,,,,,,,,,,,,,,,,,Not Audited,
132,vendors,/vendors/work-orders,,,,,,,,,,,,,,,,,,,,Not Audited,
133,forms,/forms,,,,,,,,,,,,,,,,,,,,Not Audited,
134,forms,/forms/[id],,,,,,,,,,,,,,,,,,,,Not Audited,
135,inventory,/inventory,,,,,,,,,,,,,,,,,,,,Not Audited,
136,inventory,/inventory/adjustments,,,,,,,,,,,,,,,,,,,,Not Audited,
137,inventory,/inventory/adjustments/[id],,,,,,,,,,,,,,,,,,,,Not Audited,
138,inventory,/inventory/adjustments/new,,,,,,,,,,,,,,,,,,,,Not Audited,
139,inventory,/inventory/brands,,,,,,,,,,,,,,,,,,,,Not Audited,
140,inventory,/inventory/categories,,,,,,,,,,,,,,,,,,,,Not Audited,
141,inventory,/inventory/cycle-counts,,,,,,,,,,,,,,,,,,,,Not Audited,
142,inventory,/inventory/cycle-counts/[id],,,,,,,,,,,,,,,,,,,,Not Audited,
143,inventory,/inventory/cycle-counts/new,,,,,,,,,,,,,,,,,,,,Not Audited,
144,inventory,/inventory/items,,,,,,,,,,,,,,,,,,,,Not Audited,
145,inventory,/inventory/items/[id],,,,,,,,,,,,,,,,,,,,Not Audited,
146,inventory,/inventory/items/new,,,,,,,,,,,,,,,,,,,,Not Audited,
147,inventory,/inventory/ledger,,,,,,,,,,,,,,,,,,,,Not Audited,
148,inventory,/inventory/material-issues,,,,,,,,,,,,,,,,,,,,Not Audited,
149,inventory,/inventory/material-issues/[id],,,,,,,,,,,,,,,,,,,,Not Audited,
150,inventory,/inventory/material-issues/new,,,,,,,,,,,,,,,,,,,,Not Audited,
151,inventory,/inventory/material-returns,,,,,,,,,,,,,,,,,,,,Not Audited,
152,inventory,/inventory/material-returns/[id],,,,,,,,,,,,,,,,,,,,Not Audited,
153,inventory,/inventory/material-returns/new,,,,,,,,,,,,,,,,,,,,Not Audited,
154,inventory,/inventory/reservations,,,,,,,,,,,,,,,,,,,,Not Audited,
155,inventory,/inventory/reservations/[id],,,,,,,,,,,,,,,,,,,,Not Audited,
156,inventory,/inventory/reservations/new,,,,,,,,,,,,,,,,,,,,Not Audited,
157,inventory,/inventory/stock,,,,,,,,,,,,,,,,,,,,Not Audited,
158,inventory,/inventory/stores,,,,,,,,,,,,,,,,,,,,Not Audited,
159,inventory,/inventory/transfers,,,,,,,,,,,,,,,,,,,,Not Audited,
160,inventory,/inventory/transfers/[id],,,,,,,,,,,,,,,,,,,,Not Audited,
161,inventory,/inventory/transfers/new,,,,,,,,,,,,,,,,,,,,Not Audited,
162,inventory,/inventory/units,,,,,,,,,,,,,,,,,,,,Not Audited,
163,maps,/maps,,,,,,,,,,,,,,,,,,,,Not Audited,
164,places,/places,,,,,,,,,,,,,,,,,,,,Not Audited,
